PMID,Title,Abstract,Authors,Journal,Keywords,URL,Affiliations
36678875,Effect of Solubilizing Group on the Antibacterial Activity of Heptamethine Cyanine Photosensitizers.,"Antibiotic resistance of pathogenic bacteria dictates the development of novel treatment modalities such as antimicrobial photodynamic therapy (APDT) utilizing organic dyes termed photosensitizers that exhibit a high cytotoxicity upon light irradiation. Most of the clinically approved photosensitizers are porphyrins that are poorly excitable in the therapeutic near-IR spectral range. In contrast, cyanine dyes function well in the near-IR region, but their phototoxicity, in general, is very low. The introduction of iodine atoms in the cyanine molecules was recently demonstrated to greatly increase their phototoxicity. Herein, we synthesized a series of the new iodinated heptamethine cyanine dyes (<b>ICy7</b>) containing various solubilizing moieties, i.e., negatively charged carboxylic (<b>ICy7COOH</b>) and sulfonic (<b>ICy7SO<sub>3</sub>H</b>) groups, positively charged triphenylphosphonium (<b>ICy7PPh<sub>3</sub></b>), triethylammonium (<b>ICy7NEt<sub>3</sub></b>) and amino (<b>ICy7NH<sub>2</sub></b>) groups, and neutral amide (<b>ICy7CONHPr</b>) group. The effect of these substituents on the photodynamic eradication of Gram-positive (<i>S. aureus</i>) and Gram-negative (<i>E. coli</i> and <i>P. aeruginosa</i>) pathogens was studied. Cyanine dyes containing the amide and triphenylphosphonium groups were found to be the most efficient for eradication of the investigated bacteria. These dyes are effective at low concentrations of 0.05 µM (33 J/cm<sup>2</sup>) for <i>S. aureus</i>, 50 µM (200 J/cm<sup>2</sup>) for <i>E. coli</i>, and 5 µM (100 J/cm<sup>2</sup>) for <i>P. aeruginosa</i> and considered, therefore, promising photosensitizers for APDT applications. The innovation of the new photosensitizers consisted of a combination of the heavy-atom effect that increases singlet oxygen generation with the solubilizing group's effect improving cell uptake, and with effective near-IR excitation. Such a combination helped to noticeably increase the APDT efficacy and should pave the way for the development of more advanced photosensitizers for clinical use.",,,,,
36671513,Selenium-Substituted Monomethine Cyanine Dyes as Selective G-Quadruplex Spectroscopic Probes with Theranostic Potential.,"The binding interactions of six ligands, neutral and monocationic asymmetric monomethine cyanine dyes comprising benzoselenazolyl moiety with duplex DNA and RNA and G-quadruplex structures were evaluated using fluorescence, UV/Vis (thermal melting) and circular dichroism (CD) spectroscopy. The main objective was to assess the impact of different substituents (methyl vs. sulfopropyl vs. thiopropyl/thioethyl) on the nitrogen atom of the benzothiazolyl chromophore on various nucleic acid structures. The monomethine cyanine dyes with methyl substituents showed a 100-fold selectivity for G-quadruplex versus duplex DNA. Study results indicate that cyanines bind with G-quadruplex via end π-π stacking interactions and possible additional interactions with nucleobases/phosphate backbone of grooves or loop bases. Cyanine with thioethyl substituent distinguishes duplex DNA and RNA and G-quadruplex structures by distinctly varying ICD signals. Furthermore, cell viability assay reveals the submicromolar activity of cyanines with methyl substituents against all tested human cancer cell lines. Confocal microscopy analysis shows preferential accumulation of cyanines with sulfopropyl and thioethyl substituents in mitochondria and indicates localization of cyanines with methyl in nucleus, particularly nucleolus. This confirms the potential of examined cyanines as theranostic agents, possessing both fluorescent properties and cell viability inhibitory effect.",,,"Humans, Selenium, Precision Medicine, DNA, Circular Dichroism, Fluorescent Dyes, RNA, G-Quadruplexes",,
36651281,Trans-cis isomerization kinetics of cyanine dyes reports on the folding states of exogeneous RNA G-quadruplexes in live cells.,"Guanine (G)-rich nucleic acids are prone to assemble into four-stranded structures, so-called G-quadruplexes. Abnormal GGGGCC repeat elongations, and in particular their folding states, are associated with amyotrophic lateral sclerosis and frontotemporal dementia. Due to methodological constraints however, most studies of G quadruplex structures are restricted to in vitro conditions. Evidence of how GGGGCC repeats form into G-quadruplexes in vivo is sparse. We devised a readout strategy, exploiting the sensitivity of trans-cis isomerization of cyanine dyes to local viscosity and sterical constraints. Thereby, folding states of cyanine-labeled RNA, and in particular G-quadruplexes, can be identified in a sensitive manner. The isomerization kinetics, monitored via fluorescence blinking generated upon transitions between a fluorescent trans isomer and a non-fluorescent cis isomer, was first characterized for RNA with GGGGCC repeats in aqueous solution using fluorescence correlation spectroscopy and transient state (TRAST) monitoring. With TRAST, monitoring the isomerization kinetics from how the average fluorescence intensity varies with laser excitation modulation characteristics, we could then detect folding states of fluorescently tagged RNA introduced into live cells.",,,"Humans, Fluorescent Dyes, Frontotemporal Dementia, G-Quadruplexes, Isomerism, RNA",,
36643871,Single-molecule characterization of a bright and photostable deep-red fluorescent squaraine-figure-eight (SF8) dye.,"Squaraine Figure Eight (SF8) dyes are a unique class of deep-red fluorescent dyes with self-threaded molecular architecture that provides structural rigidity while simultaneously encapsulating and protecting the emissive fluorochrome. Previous cell microscopy and bulk phase studies of SF8 dyes indicated order of magnitude enhancements in photostability over conventional pentamethine cyanine dyes such as Cy5. Studies conducted at the single molecule level now reveal that these ensemble level enhancements carry over to the single molecule level in terms of enhanced emission quantum yields, longer times to photobleaching, and enhanced total photon yields. When compared to Cy5, the SF8-based dye SF8(D4)<sub>2</sub> possesses a three-fold larger single molecule emission quantum yield, exhibits order of magnitude longer average times before photobleaching, and exhibits twenty times larger photon yields. Additional features such as water solubility, fluorochrome encapsulation to protect it against nucleophilic attack, and selective biomarker targeting capability make SF8-based dyes promising candidates for biological labeling and microscopy applications and single molecule tracking.",,,,,
36638265,Benchmarking Thiolate-Driven Photoswitching of Cyanine Dyes.,"Carbocyanines are among the best performing dyes in single-molecule localization microscopy (SMLM), but their performance critically relies on optimized photoswitching buffers. Here, we study the versatile role of thiols in cyanine photoswitching at varying intensities generated in a single acquisition by a microelectromechanical systems (MEMS) mirror placed in the excitation path. The key metrics we have analyzed as a function of the thiolate concentration are photon budget, on-state and off-state lifetimes and the corresponding impact on image resolution. We show that thiolate acts as a concentration bandpass filter for the maximum achievable resolution and determine a minimum of ∼1 mM is necessary to facilitate SMLM measurements. We also identify a concentration bandwidth of 1-16 mM in which the photoswitching performance can be balanced between high molecular brightness and high off-time to on-time ratios. Furthermore, we monitor the performance of the popular oxygen scavenger system based on glucose and glucose oxidase over time and show simple measures to avoid acidification during prolonged measurements. Finally, the impact of buffer settings is quantitatively tested on the distribution of the glucose transporter protein 4 within the plasma membrane of adipocytes. Our work provides a general strategy for achieving optimal resolution in SMLM with relevance for the development of novel buffers and dyes.",,,"Benchmarking, Fluorescent Dyes, Carbocyanines, Single Molecule Imaging, Quinolines",,
36614318,Enhanced Tumor Uptake and Retention of Cyanine Dye-Albumin Complex for Tumor-Targeted Imaging and Phototherapy.,"Heptamethine cyanine dyes are widely used for in vivo near-infrared (NIR) fluorescence imaging and NIR laser-induced cancer phototherapy due to their good optical properties. Since most of heptamethine cyanine dyes available commercially are highly hydrophobic, they can usually be used for in vivo applications after formation of complexes with blood plasma proteins, especially serum albumin, to increase aqueous solubility. The complex formation between cyanine dyes and albumin improves the chemical stability and optical property of the hydrophobic cyanine dyes, which is the bottom of their practical use. In this study, the complexes between three different heptamethine cyanine dyes, namely clinically available indocyanine green (ICG), commercially available IR-786 and zwitterionic ZW800-Cl, and bovine serum albumin (BSA), were prepared to explore the effect of cyanine dyes on their tumor uptake and retention. Among the three complexes, IR-786©BSA exhibited increased tumor accumulation with prolonged tumor retention, compared to other complexes. Moreover, IR-786 bound to BSA played an important role in tumor growth suppression due to its cytotoxicity. To achieve complete tumor ablation, the tumor targeted by IR-786©BSA was further exposed to 808 nm laser irradiation for effective photothermal cancer treatment.",,,"Humans, Cell Line, Tumor, Fluorescent Dyes, Neoplasms, Optical Imaging, Phototherapy, Serum Albumin, Bovine, Photosensitizing Agents",,
36591208,Trimethine Cyanine Dyes as NA-Sensitive Probes for Visualization of Cell Compartments in Fluorescence Microscopy.,"We propose symmetrical cationic trimethine cyanine dyes with β-substituents in the polymethine chain based on modified benzothiazole and benzoxazole heterocycles as probes for the detection and visualization of live and fixed cells by fluorescence microscopy. The spectral-luminescent properties of trimethine cyanines have been characterized for free dyes and in the presence of nucleic acids (NA) and globular proteins. The studied cyanines are low to moderate fluorescent when free, but in the presence of NA, they show an increase in emission intensity up to 111 times; the most pronounced emission increase was observed for the dyes <b>T-2</b> in the presence of dsDNA and <b>T-1</b> with RNA. Spectral methods showed the binding of all dyes to nucleic acids, and different interaction mechanisms have been proposed. The ability to visualize cell components of the studied dyes has been evaluated using different human cell lines (MCF-7, A2780, HeLa, and Hs27). We have shown that all dyes are cell-permeant staining nucleus components, probably RNA-rich nucleoli with background fluorescence in the cytoplasm, except for the dye <b>T-5</b>. The dye <b>T-5</b> selectively stains some structures in the cytoplasm of MCF-7 and A2780 cells associated with mitochondria or lysosomes. This effect has also been confirmed for the normal type of cell line-human foreskin fibroblasts (Hs27). The costaining of dye <b>T-5</b> with MitoTracker CMXRos Red demonstrates specificity to mitochondria at a concentration of 0.1 μM. Colocalization analysis has shown signals overlapping of dye <b>T-5</b> and MitoTracker CMXRos Red (Pearson's Coefficient value = 0.92 ± 0.04). The photostability study shows benzoxazole dyes to be up to ∼7 times more photostable than benzothiazole ones. Moreover, studied benzoxazoles are less cytotoxic at working concentrations than benzothiazoles (67% of cell viability for <b>T-4</b>, <b>T-5</b> compared to 12% for <b>T-1</b>, and ∼30% for <b>T-2</b>, <b>T-3</b> after 24 h). Therefore, the benzoxazole <b>T-4</b> dye is proposed for nucleic acid detection <i>in vitro</i> and intracellular fluorescence imaging of live and fixed cells. In contrast, the benzoxazole dye <b>T-5</b> is proposed as a good alternative to commercial dyes for mitochondria staining in the green-yellow region of the spectrum.",,,,,
36573095,Unraveling the Chemistry of <i>meso</i>-Cl Tricarbocyanine Dyes in Conjugation Reactions for the Creation of Peptide Bonds.,"Tricarbocyanine dyes have become popular tools in life sciences and medicine. Their near-infrared (NIR) fluorescence makes them ideal agents for imaging of thick specimens or <i>in vivo</i> imaging, <i>e.g.</i>, in fluorescence-guided surgery. Among other types of cyanine dyes, <i>meso</i>-Cl tricarbocyanine dyes have received a surge of interest, as it emerged that their high reactivity makes them inherently tumor-targeting. As such, significant research efforts have focused on conjugating these to functional moieties. However, the syntheses generally suffer from low yields. Hereby, we report on the reaction of <i>meso</i>-Cl dyes with a small selection of coupling reagents to give the corresponding keto-polymethines, potentially explaining low yields and the prevalence of monofunctionalized cyanine conjugates in the current state of the art of functional near-infrared dyes. We present the synthesis and isolation of the first keto-polymethine-based conjugate and present preliminary investigation in the prostate cancer cell lines PC3 and DU145 by confocal microscopy and discuss changes to optical properties in biological media.",,,,,
36559040,Mitochondrion-Targeted NIR Therapeutic Agent Suppresses Melanoma by Inducing Apoptosis and Cell Cycle Arrest via E2F/Cyclin/CDK Pathway.,"Malignant melanoma is the most fatal form of skin cancer worldwide, and earlier diagnosis and more effective therapies are required to improve prognosis. As a possible solution, near-infrared fluorescent heptamethine cyanine dyes have been shown to be useful for tumor diagnosis and treatment. Here, we synthesized a novel theranostic agent, IR-817, a multifunctional bioactive small-molecule that has near-infrared emission, targets mitochondria in cancer cells, and has selective anti-cancer effects. In in vitro experiments, IR-817 preferentially accumulated in melanoma cells through organic anion transporting polypeptide transporters but also selectively inhibited the growth of tumor cells by inducing mitochondrial-dependent intrinsic apoptosis. Mechanistically, IR-817 caused G0/G1 cell cycle arrest by targeting the E2F/Cyclin/CDK pathway. Finally, IR-817 significantly suppressed the growth of xenograft tumors in zebrafish and mice. Immunohistochemical staining and hematoxylin and eosin staining revealed that IR-817 induced apoptosis and inhibited tumor cell proliferation without notable side effects. Therefore, mitochondrial-targeting theranostic agent IR-817 may be promising for accurate tumor diagnosis, real-time monitoring, and safe anti-cancer treatments.",,,,,
36528924,Synthesis of Cy5-Labelled C5-Alkynyl-modified cytidine triphosphates via Sonogashira coupling for DNA labelling.,New applications of palladium-catalyzed Sonogashira-type cross-coupling reaction between C5-halogenated 2'-deoxycytidine-5'-monophosphate and novel cyanine dyes with a terminal alkyne group have been developed. The present methodology allows to synthesize of fluorescently labeled C5-nucleoside triphosphates with different acetylene linkers between the fluorophore and pyrimidine base in good to excellent yields under mild reaction conditions. Modified 2'-deoxycytidine-5'-triphosphates were shown to be good substrates for DNA polymerases and were incorporated into the DNA by polymerase chain reaction.,,,"Cytidine Triphosphate, DNA, Deoxycytidine, Cytidine",,
36459559,Discovery of BODIPY J-aggregates with absorption maxima beyond 1200 nm for biophotonics.,"Organic dyes with absorption maxima in the second near-infrared window (NIR-II; 1000 to 1700 nm) are of great interest in biophotonics. However, because of the lack of appropriate molecular scaffolds, current research in this field is limited to cyanine dyes, and developing NIR-II-absorbing organic dyes for biophotonics remains an immense challenge. Here, we rationally designed an ethenylene-bridged BODIPY scaffold featuring excellent J-aggregation capabilities and revealed that the bridging ethylene unit is crucial for intermolecular J-coupling regulation. By integrating the electron-donating groups into the scaffold, we obtained a BODIPY dye, BisBDP2, with a J-aggregate absorption maximum of around 1300 nm. BisBDP2 J-aggregates show excellent photothermal performance, including intense photoacoustic response, and a high photothermal conversion efficiency value of 63%. In vivo results demonstrate the potential of J-aggregates for photoacoustic imaging and photothermal ablation of deep-seated tumors. This study will speed up the exploration of NIR-II-absorbing J-aggregates for future biophotonic applications.",,,,,
36430234,Molecular Tuning of IR-786 for Improved Brown Adipose Tissue Imaging.,"To overcome the limitations of brown adipose tissue (BAT) imaging with MRI and PET/CT, near-infrared (NIR) fluorescence imaging has been utilized in living animals because it is highly sensitive, noninvasive, nonradioactive, and cost-effective. To date, only a few NIR fluorescent dyes for detecting BAT have been reported based on the structure-inherent targeting strategy. Among them, IR-786, a commercial cyanine dye, was used firstly for quantitative NIR imaging of BAT perfusion in 2003. Owing to the high cytotoxicity, poor water solubility, and strong nonspecific background uptake of IR-786, the chemical structure of IR-786 should be redesigned to be more hydrophilic and less toxic so that it can show more BAT-specific accumulation. Here, we developed a BAT-specific NIR dye, BF800-AM, by incorporating the tyramine linker in the original structure of IR-786. After modifying the physicochemical properties of IR-786, in vivo results showed significant uptake of the newly designed BF800-AM in the BAT with improved signal-to-background ratio. Additional in vivo studies using mouse tumor models revealed that BF800-AM targeting to BAT is independent of tumor tissues, as distinct from IR-786 showing uptake in both tissues. Therefore, BF800-AM can be used for improved noninvasive visualization of BAT mass and activity in living animals.",,,"Animals, Mice, Adipose Tissue, Brown, Positron Emission Tomography Computed Tomography, Magnetic Resonance Imaging, Neoplasms",,
36423932,"Theoretical Models, Preparation, Characterization and Applications of Cyanine J-Aggregates: A Minireview.","Cyanines are one of the few kinds of molecules whose absorbance and emission can be shifted in a broad spectral range from the ultraviolet to the near infrared. They can easily transform into J-aggregates with narrow absorption and emission peaks, along with a redshift in their spectra. This mini-review presents cyanine dyes and their J-aggregates and discusses their structure and spectral properties that illustrate their specificities. We summarize the theoretical and experimental state of the art on cyanine J-aggregates and their applications, also laying the groundwork for cyanine J-aggregates synthesis and characterization methods.",,,"Carbocyanines, Coloring Agents, Quinolines, Models, Theoretical",,
36323652,Elucidating the cellular uptake mechanisms of heptamethine cyanine dye analogues for their use as an anticancer drug-carrier molecule for the treatment of glioblastoma.,"The development of chemotherapies for glioblastoma is hindered by their limited bioavailability and toxicity on normal brain function. To overcome these limitations, we investigated the structure-dependent activity of heptamethine cyanine dyes (HMCD), a group of tumour-specific and BBB permeable near-infrared fluorescent dyes, in both commercial (U87MG) and patient-derived GBM cell lines. HMCD analogues with strongly ionisable sulphonic acid groups were not taken up by patient-derived GBM cells, but were taken up by the U87MG cell line. HMCD uptake relies on a combination of transporter uptake through organic anion-transporting polypeptides (OATPs) and endocytosis into GBM cells. The uptake of HMCDs was not affected by p-glycoprotein efflux in GBM cells. Finally, we demonstrate structure-dependent cytotoxic activity at high concentrations (EC<sub>50</sub> : 1-100 μM), likely due to mitochondrial damage-induced apoptosis. An in vivo orthotopic glioblastoma model highlights tumour-specific accumulation of our lead HMCD, MHI-148, for up to 7 days following a single intraperitoneal injection. These studies suggest that strongly ionisable groups like sulphonic acids hamper the cellular uptake of HMCDs in patient-derived GBM cell lines, highlighting cell line-specific differences in HMCD uptake. We envisage these findings will help in the design and structural modifications of HMCDs for drug-delivery applications for glioblastoma.",,,"Humans, Glioblastoma, Cell Line, Tumor, Antineoplastic Agents, Fluorescent Dyes, Brain Neoplasms",,
36323089,Three near-infrared and lysosome-targeting probes for photodynamic therapy (PDT).,"Lysosome, an organelle which contains a number of hydrolases and hydrogen ions, plays a crucial role in cellular survival and apoptosis. If selectively destroy lysosomes membrane, inner hydrolases and hydrogen ions will leak and induce cell death. In this work, three lysosome-targeting fluorescent probes (HCL 1-3, heptamethine cyanine lysosomal-targeting probe) were designed, synthesized and developed for photodynamic therapy. Piperazine and N, N-dimethyl structures made HCL 1-3 have good lysosome targeting ability while Pearson's correlation coefficients reached 0.85, 0.87 and 0.78. It can be concluded from MTT test, HCL 1-3 have high photo cytotoxicity and low dark cytotoxicity from MTT test. Calcein/PI staining assays also supported cytotoxicity of HCL 1-3 under light conditions. In vivo experiments, HCL 2 accumulated in tumor and a strong fluorescence signal was observed at 12 h post injection. All results showed that our experiments provide help and new ideas for cyanine dyes in cancer treatment.",,,"Photochemotherapy, Protons, Lysosomes, Fluorescent Dyes, Hydrolases",,
36320587,The pursuit of polymethine fluorophores with NIR-II emission and high brightness for <i>in vivo</i> applications.,"Polymethine cyanine dyes, as the most important class of organic near-infrared-II (NIR-II) fluorophores, recently received increasing attention due to their high molar extinction coefficients, intensive fluorescence brightness, and flexible wavelength tunability for fluorescent bioimaging applications. Very recently, remarkable advances have been made in the development of NIR-II polymethine fluorophores with improved optical performance, mainly including tunable fluorescence, improved brightness, improved water solubility and stability. In this review, we summarize the recent research advances in molecular tailoring design strategies of NIR-II polymethine fluorophores, and then emphasize the representative bioimaging and biosensing applications. The potential challenges and perspectives of NIR-II polymethine fluorophores in this emerging field are also discussed. This review may provide guidance and reference for further development of high-performance NIR-II polymethine fluorophores to boost their clinical translation in the future.",,,,,
36288482,One-Dimensionally Conjugated Carbocyanine Dyes Isolated under Cold Gas-Phase Conditions: Electronic Spectra and Photochemistry.,"One-dimensionally conjugated carbocyanine dyes are of significant research interest, particularly for their electronic photoexcitation, owing to a wide variety of characteristics, including a good analogy to ""free electrons in a one-dimensional box"" model and <i>trans</i>-<i>cis</i> photoisomerization along the conjugated chain. Despite these important aspects, their electronic spectra remain ambiguous in terms of their assignment owing to the significant effects of their surrounding environment. In this study, we present the electronic spectra of two cyanine dyes, 1,1'-diethyl-2,2'-carbocyanine (pinacyanol, <b>1</b>) and 1,1'-diethyl-4,4'-carbocyanine (cryptocyanine, <b>2</b>), measured under cold (∼10 K) gas-phase conditions, to determine the intrinsic electronic transition energy and provide clear assignments for the spectra. The obtained visible photodissociation spectra demonstrate (1) spectral shifts in response to both solvent and temperature, (2) the contribution from the vibrational excitation in the excited state (Franck-Condon (FC) activity), and (3) the coexistence of conformers caused by the orientation of the side ethyl groups. These factors affect the electronic transition energy up to ∼1000 cm<sup>-1</sup> in total for both <b>1</b> and <b>2</b>, which corresponds to an effective length of 0.5 Å in terms of the ""one-dimensional box"" model. Furthermore, a difference was observed in the effective bandwidth of the spectra between <b>1</b> and <b>2</b> based on a comparison with the simulated FC patterns around the origin band; the bandwidth was substantially larger for <b>2</b> than that of <b>1</b>, implying the shorter lifetime of <b>2</b> in the photoexcited S<sub>1</sub> state. With the aid of density functional theory (DFT) calculations of the relaxed potential energy curves, we partly ascribed this to the fast <i>trans</i>-<i>cis</i> photoisomerization via C═C bond twisting on the S<sub>1</sub> surface, followed by S<sub>1</sub>-S<sub>0</sub> internal conversion.",,,,,
36268205,Tunable Electronic Structure via DNA-Templated Heteroaggregates of Two Distinct Cyanine Dyes.,"Molecular excitons are useful for applications in light harvesting, organic optoelectronics, and nanoscale computing. Electronic energy transfer (EET) is a process central to the function of devices based on molecular excitons. Achieving EET with a high quantum efficiency is a common obstacle to excitonic devices, often owing to the lack of donor and acceptor molecules that exhibit favorable spectral overlap. EET quantum efficiencies may be substantially improved through the use of heteroaggregates-aggregates of chemically distinct dyes-rather than individual dyes as energy relay units. However, controlling the assembly of heteroaggregates remains a significant challenge. Here, we use DNA Holliday junctions to assemble homo- and heterotetramer aggregates of the prototypical cyanine dyes Cy5 and Cy5.5. In addition to permitting control over the number of dyes within an aggregate, DNA-templated assembly confers control over aggregate composition, i.e., the ratio of constituent Cy5 and Cy5.5 dyes. By varying the ratio of Cy5 and Cy5.5, we show that the most intense absorption feature of the resulting tetramer can be shifted in energy over a range of almost 200 meV (1600 cm<sup>-1</sup>). All tetramers pack in the form of H-aggregates and exhibit quenched emission and drastically reduced excited-state lifetimes compared to the monomeric dyes. We apply a purely electronic exciton theory model to describe the observed progression of the absorption spectra. This model agrees with both the measured data and a more sophisticated vibronic model of the absorption and circular dichroism spectra, indicating that Cy5 and Cy5.5 heteroaggregates are largely described by molecular exciton theory. Finally, we extend the purely electronic exciton model to describe an idealized J-aggregate based on Förster resonance energy transfer (FRET) and discuss the potential advantages of such a device over traditional FRET relays.",,,,,
36234904,Photonics of Trimethine Cyanine Dyes as Probes for Biomolecules.,"Cyanine dyes are widely used as fluorescent probes in biophysics and medical biochemistry due to their unique photophysical and photochemical properties (their photonics). This review is focused on a subclass of the most widespread and studied cyanine dyes-trimethine cyanines, which can serve as potential probes for biomolecules. The works devoted to the study of the noncovalent interaction of trimethine cyanine dyes with biomolecules and changing the properties of these dyes upon the interaction are reviewed. In addition to the spectral-fluorescent properties, elementary photochemical properties of trimethine cyanines are considered, including: photoisomerization and back isomerization of the photoisomer, generation and decay of the triplet state, and its quenching by oxygen and other quenchers. The influence of DNA and other nucleic acids, proteins, and other biomolecules on these properties is covered. The interaction of a monomer dye molecule with a biomolecule usually leads to a fluorescence growth, damping of photoisomerization (if any), and an increase in intersystem crossing to the triplet state. Sometimes aggregation of dye molecules on biomolecules is observed. Quenching of the dye triplet state in a complex with biomolecules by molecular oxygen usually occurs with a rate constant much lower than the diffusion limit with allowance for the spin-statistical factor 1/9. The practical application of trimethine cyanines in biophysics and (medical) biochemistry is also considered. In conclusion, the prospects for further studies on the cyanine dye-biomolecule system and the development of new effective dye probes (including probes of a new type) for biomolecules are discussed.",,,"Carbocyanines, DNA, Fluorescent Dyes, Optics and Photonics, Oxygen, Quinolines",,
36199322,Aromatic fluorine atom-induced highly amine-sensitive trimethine cyanine dye showing colorimetric and ratiometric fluorescence change.,"Herein, introducing multiple fluorine atoms into aromatic rings of trimethine cyanine dyes is proposed as a powerful method for dramatically increasing sensitivity to amines. The highly sensitive ratiometric fluorescence properties previously available only by intramolecular addition can be exploited in reactions with intermolecular amines or other nucleophiles.",,,,,
36157719,Fluorescence Quenching of Xanthene Dyes during Amide Bond Formation Using DMTMM.,"Fluorophore bioconjugation to proteins, nucleic acids, and other important molecules can provide a powerful approach to sensing, imaging, and quantifying chemical and biological processes. One of the most prevalent methods for fluorophore attachment is through the formation of amide bonds, which are often facilitated by coupling agents to activate carboxylic acid moieties for subsequent nucleophilic attack by amines. 4-(4,6-Dimethoxy-1,3,5-triazin-2-yl)-4-methyl-morpholinium chloride (DMTMM) is among the most popular of these coupling agents for bioconjugation due to its ability to facilitate amide bond formation in water. After observing quenching of 5-fluoresceinamine (5-FAM)-conjugated oligonucleotides in the presence of DMTMM, we sought to evaluate the magnitude and scope of this challenge by surveying the effect of DMTMM on a range of fluorescent dyes. A higher quenching effect was consistently observed for xanthene dyes compared to that for cyanine dyes. Further analysis of the impact of DMTMM on FAM shows that quenching occurs independently of whether the dye is free in solution or attached to an oligonucleotide or antibody. Furthermore, we found that FAM-conjugated DNA was unable to recover its fluorescence after the removal of DMTMM, and UV-vis and NMR analyses suggest the formation of new products, such as an adduct formed between FAM and the dimethoxytriazine of DMTMM. As such, DMTMM at high concentrations is not recommended for coupling reactions where targets are fluorescently labeled. This research serves as a word of caution to those utilizing xanthene-containing fluorophores in bioconjugation reactions involving DMTMM.",,,,,
36153973,Fluorogenic Dimers as Bright Switchable Probes for Enhanced Super-Resolution Imaging of Cell Membranes.,"Super-resolution fluorescence imaging based on single-molecule localization microscopy (SMLM) enables visualizing cellular structures with nanometric precision. However, its spatial and temporal resolution largely relies on the brightness of ON/OFF switchable fluorescent dyes. Moreover, in cell plasma membranes, the single-molecule localization is hampered by the fast lateral diffusion of membrane probes. Here, to address these two fundamental problems, we propose a concept of ON/OFF switchable probes for SMLM (points accumulation for imaging in nanoscale topography, PAINT) based on fluorogenic dimers of bright cyanine dyes. In these probes, the two cyanine units connected with a linker were modified at their extremities with low-affinity membrane anchors. Being self-quenched in water due to intramolecular dye H-aggregation, they displayed light up on reversible binding to lipid membranes. The charged group in the linker further decreased the probe affinity to the lipid membranes, thus accelerating its dynamic reversible ON/OFF switching. The concept was validated on cyanines 3 and 5. SMLM of live cells revealed that the new probes provided higher brightness and ∼10-fold slower diffusion at the cell surface, compared to reference probes Nile Red and DiD, which boosted axial localization precision >3-fold down to 31 nm. The new probe allowed unprecedented observation of nanoscale fibrous protrusions on plasma membranes of live cells with 40 s time resolution, revealing their fast dynamics. Thus, going beyond the brightness limit of single switchable dyes by cooperative dequenching in fluorogenic dimers and slowing down probe diffusion in biomembranes open the route to significant enhancement of super-resolution fluorescence microscopy of live cells.",,,"Cell Membrane, Fluorescent Dyes, Lipids, Microscopy, Fluorescence, Water",,
36149045,A Selenium-Substituted Heptamethine Cyanine Photosensitizer for Near-Infrared Photodynamic Therapy.,"Photodynamic therapy (PDT) is a relatively safe approach to cancer treatment without significant systemic side effects or drug resistance. However, the current PDT efficiency is unsatisfactory due to the lack of near-infrared (NIR) photosensitizers. Heptamethine cyanine (Cy7) dyes are well-known NIR fluorophores and are also used as photosensitizers. But their singlet oxygen quantum yields (Φ<sub>Δ</sub> ) are not ideal. Herein, we developed an NIR photosensitizer with a long-lived excited triplet state (τ=4.3 μs) by introducing a selenium atom into the structure of a Cy7 dye. The new NIR photosensitizer exhibits a significantly high singlet oxygen quantum yield (Φ<sub>Δ</sub> =0.11). Its good PDT effect was demonstrated in the living cells. Considering that the selenium-substituted photosensitizer has a very low dark cytotoxicity and good chemical stability, we conclude that it will have a promising future in biomedical and clinical applications.",,,"Photosensitizing Agents, Photochemotherapy, Singlet Oxygen, Selenium, Fluorescent Dyes",,
36144515,An Insight into Symmetrical Cyanine Dyes as Promising Selective Antiproliferative Agents in Caco-2 Colorectal Cancer Cells.,"Cancer remains one of the diseases with the highest worldwide incidence. Several cytotoxic approaches have been used over the years to overcome this public health threat, such as chemotherapy, radiotherapy, and photodynamic therapy (PDT). Cyanine dyes are a class of compounds that have been extensively studied as PDT sensitisers; nevertheless, their antiproliferative potential in the absence of a light source has been scarcely explored. Herein, the synthesis of eighteen symmetric mono-, tri-, and heptamethine cyanine dyes and their evaluation as potential anticancer agents is described. The influences of the heterocyclic nature, counterion, and methine chain length on the antiproliferative effects and selectivities were analysed, and relevant structure-activity relationship data were gathered. The impact of light on the cytotoxic activity of the most promising dye was also assessed and discussed. Most of the monomethine and trimethine cyanine dyes under study demonstrated a high antiproliferative effect on human tumour cell lines of colorectal (Caco-2), breast (MCF-7), and prostate (PC-3) cancer at the initial screening (10 µM). However, concentration-viability curves showed higher potency and selectivity for the Caco-2 cell line. A monomethine cyanine dye derived from benzoxazole was the most promising compound (IC<sub>50</sub> for Caco-2 = 0.67 µM and a selectivity index of 20.9 for Caco-2 versus normal human dermal fibroblasts (NHDF)) and led to Caco-2 cell cycle arrest at the G0/G1 phase. Complementary in silico studies predicted good intestinal absorption and oral bioavailability for this cyanine dye.",,,"Antineoplastic Agents, Benzoxazoles, Caco-2 Cells, Colorectal Neoplasms, Fluorescent Dyes, Humans, Quinolines",,
