PMID,Title,DOI
36453551,Inhibiting the biogenesis of myeloid-derived suppressor cells enhances immunotherapy efficacy against mammary tumor progression.,10.1172/JCI158661
36453548,Bring on the brequinar: an approach to enforce the differentiation of myeloid-derived suppressor cells.,10.1172/JCI165506
36435987,"Dihydroorotate dehydrogenase inhibitor olorofim has potent in vitro activity against Microascus/Scopulariopsis, Rasamsonia, Penicillium and Talaromyces species.",10.1111/myc.13548
36424385,Proof-of-principle studies on a strategy to enhance nucleotide imbalance specifically in cancer cells.,10.1038/s41420-022-01254-4
36412986,Inhibition of mitochondrial complex III or dihydroorotate dehydrogenase (DHODH) triggers formation of poly(A)(+) RNA foci adjacent to nuclear speckles following activation of ATM (ataxia telangiectasia mutated).,10.1080/15476286.2022.2146919
36412499,A pharmacokinetic-pharmacodynamic model for chemoprotective agents against malaria.,10.1002/psp4.12875
36401950,Integrated structure-guided computational design of novel substituted quinolizin-4-ones as Plasmodium falciparum dihydroorotate dehydrogenase (PfDHODH) inhibitors.,10.1016/j.compbiolchem.2022.107787
36396307,"Prospective, randomised, parallel-group, open-label study to evaluate the effectiveness and safety of IMU-838, in combination with oseltamivir, in adults with COVID-19: the IONIC trial protocol.",10.1136/bmjopen-2021-055205
36372522,Synthesis and biological evaluation of new quinoline-4-carboxylic acid-chalcone hybrids as dihydroorotate dehydrogenase inhibitors.,10.1002/ardp.202200374
36368321,Cancer-selective metabolic vulnerabilities in MYC-amplified medulloblastoma.,10.1016/j.ccell.2022.10.009
36351991,"Discovery of potential natural dihydroorotate dehydrogenase inhibitors and their synergism with brequinar via integrated molecular docking, dynamic simulations and in vitro approach.",10.1038/s41598-022-23006-1
36344676,"DHODH inhibition impedes glioma stem cell proliferation, induces DNA damage, and prolongs survival in orthotopic glioblastoma xenografts.",10.1038/s41388-022-02517-1
36341997,ENT1 blockade by CNX-774 overcomes resistance to DHODH inhibition in pancreatic cancer.,10.1016/j.canlet.2022.215981
36329350,Upregulation of cytidine deaminase in NAT1 knockout breast cancer cells.,10.1007/s00432-022-04436-w
36325389,A new small molecule DHODH-inhibitor [KIO-100 (PP-001)] targeting activated T cells for intraocular treatment of uveitis - A phase I clinical trial.,10.3389/fmed.2022.1023224
36298835,The Novel hDHODH Inhibitor MEDS433 Prevents Influenza Virus Replication by Blocking Pyrimidine Biosynthesis.,10.3390/v14102281
36285442,Hoxa9/meis1-transgenic zebrafish develops acute myeloid leukaemia-like disease with rapid onset and high penetrance.,10.1098/rsob.220172
36242990,"SAR studies toward discovery of emvododstat (PTC299), a potent dihydroorotate dehydrogenase (DHODH) inhibitor.",10.1016/j.ejmech.2022.114826
36242741,"Safety and Efficacy of Vidofludimus Calcium in Patients Hospitalized with COVID-19: A Double-Blind, Randomized, Placebo-Controlled, Phase 2 Trial.",10.1007/s40121-022-00690-0
36217901,"A first in man study to evaluate the safety, pharmacokinetics and pharmacodynamics of RP7214, a dihydroorotate dehydrogenase inhibitor in healthy subjects.",10.1111/bcp.15562
36190114,Structure-Based Prototyping of Allosteric Inhibitors of Human Uridine/Cytidine Kinase 2 (UCK2).,10.1021/acs.biochem.2c00451
36162075,"Targeting Acute Myelogenous Leukemia Using Potent Human Dihydroorotate Dehydrogenase Inhibitors Based on the 2-Hydroxypyrazolo[1,5-a]pyridine Scaffold: SAR of the Aryloxyaryl Moiety.",10.1021/acs.jmedchem.2c00496
36134475,Identification of Dihydroorotate Dehydrogenase Inhibitors Using the Cell Painting Assay.,10.1002/cbic.202200475
36115209,Discovery of potent human dihydroorotate dehydrogenase inhibitors based on a benzophenone scaffold.,10.1016/j.ejmech.2022.114737
36078133,Molecular Mechanisms of Ferroptosis and Relevance to Cardiovascular Disease.,10.3390/cells11172726
36055381,Development of a biomarker to monitor target engagement after treatment with dihydroorotate dehydrogenase inhibitors.,10.1016/j.bcp.2022.115237
36051066,Dihydroorotate dehydrogenase inhibition acts synergistically with tyrosine kinase inhibitors to induce apoptosis of mantle cell lymphoma cells.,10.1002/jha2.434
36041646,Brequinar and dipyridamole in combination exhibits synergistic antiviral activity against SARS-CoV-2 in vitro: Rationale for a host-acting antiviral treatment strategy for COVID-19.,10.1016/j.antiviral.2022.105403
36014049,Inhibitors of Nucleotide Biosynthesis as Candidates for a Wide Spectrum of Antiviral Chemotherapy.,10.3390/microorganisms10081631
35985343,De novo pyrimidine synthesis is a targetable vulnerability in IDH mutant glioma.,10.1016/j.ccell.2022.07.011
35943801,DHODH is an independent prognostic marker and potent therapeutic target in neuroblastoma.,10.1172/jci.insight.153836
35925768,N-Heterocyclic 3-Pyridyl Carboxamide Inhibitors of DHODH for the Treatment of Acute Myelogenous Leukemia.,10.1021/acs.jmedchem.2c00788
35910085,Caffeic Acid Phenethyl Ester as a DHODH Inhibitor and Its Synergistic Anticancer Properties in Combination with 5-Fluorouracil in a Breast Cancer Cell Line.,10.2147/JEP.S365159
35897941,Regioselective Synthesis of 5- and 3-Hydroxy-N-Aryl-1H-Pyrazole-4-Carboxylates and Their Evaluation as Inhibitors of Plasmodium falciparum Dihydroorotate Dehydrogenase.,10.3390/molecules27154764
35890202,Siccanin Is a Dual-Target Inhibitor of Plasmodium falciparum Mitochondrial Complex II and Complex III.,10.3390/ph15070903
35869648,"Identification of second generation benzylidene chromanone analogues as novel, potent DHODH inhibitors in acute myeloid leukemia cells.",10.1080/07391102.2022.2103031
35790845,Cytarabine-induced differentiation of AML cells depends on Chk1 activation and shares the mechanism with inhibitors of DHODH and pyrimidine synthesis.,10.1038/s41598-022-15520-z
35773274,Dihydroorotate dehydrogenase inhibition reveals metabolic vulnerability in chronic myeloid leukemia.,10.1038/s41419-022-05028-9
35744791,Identification of Human Dihydroorotate Dehydrogenase Inhibitor by a Pharmacophore-Based Virtual Screening Study.,10.3390/molecules27123660
35698927,"A double-blind, randomized, placebo-controlled phase 2 trial evaluating the selective dihydroorotate dehydrogenase inhibitor vidofludimus calcium in relapsing-remitting multiple sclerosis.",10.1002/acn3.51574
35644833,Identification of clinical candidates against West Nile virus by activity screening in vitro and effect evaluation in vivo.,10.1002/jmv.27891
35640328,A novel series of teriflunomide derivatives as orally active inhibitors of human dihydroorotate dehydrogenase for the treatment of colorectal carcinoma.,10.1016/j.ejmech.2022.114489
35632670,A Broad Antiviral Strategy: Inhibitors of Human DHODH Pave the Way for Host-Targeting Antivirals against Emerging and Re-Emerging Viruses.,10.3390/v14050928
35618075,Antiviral activity of brequinar against African swine fever virus infection in vitro.,10.1016/j.virusres.2022.198826
35586439,Indazole and Benzoisoxazole Compounds as Dihydroorotate Dehydrogenase Inhibitors for Treating Acute Myelogenous Leukemia.,10.1021/acsmedchemlett.2c00150
35514210,Inhibition of pyrimidine biosynthesis targets protein translation in acute myeloid leukemia.,10.15252/emmm.202115203
35492218,Inhibitors of dihydroorotate dehydrogenase cooperate with molnupiravir and N4-hydroxycytidine to suppress SARS-CoV-2 replication.,10.1016/j.isci.2022.104293
35446944,"Favipiravir for Treatment of Outpatients With Asymptomatic or Uncomplicated Coronavirus Disease 2019: A Double-Blind, Randomized, Placebo-Controlled, Phase 2 Trial.",10.1093/cid/ciac312
35434035,The critical role and molecular mechanisms of ferroptosis in antioxidant systems: a narrative review.,10.21037/atm-21-6942
35353620,The Emerging Role of Ferroptosis in Sepsis.,10.1089/dna.2021.1072
35336113,Inactivation of the Pyrimidine Biosynthesis pyrD Gene Negatively Affects Biofilm Formation and Virulence Determinants in the Crohn's Disease-Associated Adherent Invasive Escherichia coli LF82 Strain.,10.3390/microorganisms10030537
35296419,Development of accelerated high-throughput antiviral screening systems for emerging orthomyxoviruses.,10.1016/j.antiviral.2022.105291
35223511,"Emvododstat, a Potent Dihydroorotate Dehydrogenase Inhibitor, Is Effective in Preclinical Models of Acute Myeloid Leukemia.",10.3389/fonc.2022.832816
35202887,Hepatic TGFβr1 Deficiency Attenuates Lipopolysaccharide/D-Galactosamine-Induced Acute Liver Failure Through Inhibiting GSK3β-Nrf2-Mediated Hepatocyte Apoptosis and Ferroptosis.,10.1016/j.jcmgh.2022.02.009
35191598,Expanding the Repertoire of Low-Molecular-Weight Pentafluorosulfanyl-Substituted Scaffolds.,10.1002/cmdc.202100641
35189560,Examination of multiple Trypanosoma cruzi targets in a new drug discovery approach for Chagas disease.,10.1016/j.bmc.2021.116577
35178168,Biaryl Compounds as Dihydroorotate Dehydrogenase Inhibitors for Treating Acute Myelogenous Leukemia (AML).,10.1021/acsmedchemlett.2c00017
35151222,Recent advances of human dihydroorotate dehydrogenase inhibitors for cancer therapy: Current development and future perspectives.,10.1016/j.ejmech.2022.114176
35141004,Mitochondrial DHODH regulates hypoxia-inducible factor 1 expression in OTSCC.,
35045289,Disrupted neural correlates of anesthesia and sleep reveal early circuit dysfunctions in Alzheimer models.,10.1016/j.celrep.2021.110268
34957834,Discovery of Orally Available Retinoic Acid Receptor-Related Orphan Receptor γ-t/Dihydroorotate Dehydrogenase Dual Inhibitors for the Treatment of Refractory Inflammatory Bowel Disease.,10.1021/acs.jmedchem.1c01746
34905371,"Design, Synthesis, and Biological Evaluation of a Novel Series of Teriflunomide Derivatives as Potent Human Dihydroorotate Dehydrogenase Inhibitors for Malignancy Treatment.",10.1021/acs.jmedchem.1c01711
34899685,Mitochondrial-Linked De Novo Pyrimidine Biosynthesis Dictates Human T-Cell Proliferation but Not Expression of Effector Molecules.,10.3389/fimmu.2021.718863
34877904,Inhibition of pyrimidine biosynthesis by strobilurin derivatives induces differentiation of acute myeloid leukemia cells.,10.1080/10428194.2021.2008382
34846990,"In vitro metabolism, pharmacokinetics and drug interaction potentials of emvododstat, a DHODH inhibitor.",10.1080/00498254.2021.2010287
34795852,Heterocyclic Compounds as Dihydroorotate Dehydrogenase Inhibitors for Treating Acute Myelogenous Leukemia (AML).,10.1021/acsmedchemlett.1c00532
34730931,Identification of Dihydroorotate Dehydrogenase Inhibitors─Indoluidins─That Inhibit Cancer Cell Growth.,10.1021/acschembio.1c00625
34721394,Teriflunomide Treatment of Multiple Sclerosis Selectively Modulates CD8 Memory T Cells.,10.3389/fimmu.2021.730342
34704521,Targeting mitochondrial metabolism in acute myeloid leukemia.,10.1080/10428194.2021.1992759
34666481,Pentafluorosulfanyl (SF(5)) as a Superior (19)F Magnetic Resonance Reporter Group: Signal Detection and Biological Activity of Teriflunomide Derivatives.,10.1021/acssensors.1c01024
34621112,Molecular docking analysis of Plasmodium falciparum dihydroorotate dehydrogenase towards the design of effective inhibitors.,10.6026/97320630016672
34577183,Antimalarial Inhibitors Targeting Epigenetics or Mitochondria in Plasmodium falciparum: Recent Survey upon Synthesis and Biological Evaluation of Potential Drugs against Malaria.,10.3390/molecules26185711
34577124,The Mitochondria-Independent Cytotoxic Effect of Leflunomide on RPMI-8226 Multiple Myeloma Cell Line.,10.3390/molecules26185653
34516133,Exploring Marine-Derived Ascochlorins as Novel Human Dihydroorotate Dehydrogenase Inhibitors for Treatment of Triple-Negative Breast Cancer.,10.1021/acs.jmedchem.1c01402
34462431,Therapeutic targeting of both dihydroorotate dehydrogenase and nucleoside transport in MYCN-amplified neuroblastoma.,10.1038/s41419-021-04120-w
34442810,The New Generation hDHODH Inhibitor MEDS433 Hinders the In Vitro Replication of SARS-CoV-2 and Other Human Coronaviruses.,10.3390/microorganisms9081731
34391783,Novel quinolone derivatives targeting human dihydroorotate dehydrogenase suppress Ebola virus infection in vitro.,10.1016/j.antiviral.2021.105161
34353411,"A Combined Chemical, Computational, and In Vitro Approach Identifies SBL-105 as Novel DHODH Inhibitor in Acute Myeloid Leukemia Cells.",10.3727/096504021X16281573507558
34348625,DHODH Hot Spots: An Underexplored Source to Guide Drug Development Efforts.,10.2174/1568026621666210804122320
34281290,"Identification of 3,4-Dihydro-2H,6H-pyrimido[1,2-c][1,3]benzothiazin-6-imine Derivatives as Novel Selective Inhibitors of Plasmodium falciparum Dihydroorotate Dehydrogenase.",10.3390/ijms22137236
34123854,Targeting Pyrimidine Metabolism in the Era of Precision Cancer Medicine.,10.3389/fonc.2021.684961
34116160,Low cytotoxic quinoline-4-carboxylic acids derived from vanillin precursors as potential human dihydroorotate dehydrogenase inhibitors.,10.1016/j.bmcl.2021.128194
34113829,"DHODH inhibition modulates glucose metabolism and circulating GDF15, and improves metabolic balance.",10.1016/j.isci.2021.102494
